SMILES,E1-CAM
O=C1CSC(C2=NC3=C(C=C(C=C3)N)S2)=N1,0.09588
O=C1CSC(C2=NC3=C(C=C(C=C3)NC)S2)=N1,0.09425
O=C1CSC(C2=NC3=C(C=C(C=C3)N(C)C)S2)=N1,0.09165
O=C1CSC(C2=NC3=C(C=C(NCC4)C4=C3)S2)=N1,0.09209
O=C1CSC(C2=NC3=C(C=C(N(C)CC4)C4=C3)S2)=N1,0.08987
O=C1CSC(C2=NC3=C(C=C(NCCO4)C4=C3)S2)=N1,0.09302
O=C1CSC(C2=NC3=C(C=C(N(C)CCO4)C4=C3)S2)=N1,0.09125
O=C1CSC(C2=NC3=C(C=C(NC(C)(C)C=C4C)C4=C3)S2)=N1,0.08908
O=C1CSC(C2=NC3=C(S2)C=C(C4=C3)N(C)C(C)(C=C4C)C)=N1,0.08828
O=C1CSC(C2=NC3=C(C=C(NCCC4)C4=C3)S2)=N1,0.09131
O=C1CSC(C2=NC3=C(C=C(N(C)CCC4)C4=C3)S2)=N1,0.08998
O=C1CSC(C2=NC3=C(C(CCCN4)=C4C=C3)S2)=N1,0.09066
O=C1CSC(C2=NC3=C(C(CCCN4C)=C4C=C3)S2)=N1,0.08771
O=C1CSC(C2=NC3=C(C=C(NCCC4(C)C)C4=C3)S2)=N1,0.09127
O=C1CSC(C2=NC3=C(C=C(N(C)CCC4(C)C)C4=C3)S2)=N1,0.09011
O=C1N=C(SC1)/C=C/C=C/C2=CC3=C(C=C2)N(C)CC3,0.07826
O=C1N=C(SC1)/C=C/C=C/C2=CC(CCCN3C)=C3C=C2,0.07885
O=C1N=C(SC1)/C=C/C=C/C2=CC(C(C)(C)CCN3C)=C3C=C2,0.07899
O=C1N=C(SC1)/C=C/C=C/C2=CC(OCCN3C)=C3C=C2,0.07922
O=C1N=C(SC1)/C=C/C=C/C2=CC(CCCN3CCC4)=C3C4=C2,0.07738
O=C1N=C(SC1)/C=C/C=C/C2=CC(C(C)=CC(C)(C)N3C)=C3C=C2,0.07789
O=C1CSC(C(S2)=NC3=C2C=C(O)C=C3)=N1,0.10764
O=C1CSC(C=CC2=NC3=C(C=C(C=C3)O)S2)=N1,0.09087
O=C1N=C(/C=C/C=C/C2=CC=C(N(C)C)C=C2)SC1,0.08050
O=C1CSC(C2=NC3=CC(CCN4)=C4C=C3S2)=N1,0.09196
O=C1CSC(C2=NC3=CC(CCN4C)=C4C=C3S2)=N1,0.08972
O=C1CSC(C2=NC3=C(C(C=CC(O)=C4)=C4C=C3)S2)=N1,0.10136
O=C1CSC(C2=NC3=C(C(C=CC(N)=C4)=C4C=C3)S2)=N1,0.08995
CN1CC(=N)Cc2cc(/C=C/C=C/C3=NC(=O)CS3)ccc21,0.07985
C=Nc1ccc2nc(C3=NC(=O)CS3)sc2c1,0.09989
Nc1ccc2c(c1)SC(C1=NC(=O)CS1)=NC2,0.08588
Cc1c2c(cc3nc(C4=NC(=O)CS4)sc13)CCCN2,0.08989
CN(C)Cc1ccc2nc(C3=NC(=O)CS3)sc2c1,0.11429
C=CN(C)c1ccc(/C=C/C=C/C2=NC(=O)CS2)cc1,0.08066
CN1CCCc2cc(C=CC3=NC(=O)CS3)ccc21,0.09367
Nc1cc2sc(C3=NC(=O)CS3)nc2cc1O,0.09468
CCc1c(NC)ccc2nc(C3=NC(=O)CS3)sc12,0.09119
CN1CCCc2cc(/C=C/N=C/C3=NC(=O)CS3)ccc21,0.07253
CN1C=CCc2c1ccc1nc(C3=NC(=O)CS3)sc21,0.08261
O=C1CSC(/C=C/C=C/c2cc3c4c(n2)CCCN4CCC3)=N1,0.07709
O=C1CSC(c2nc3ccc4c(c3s2)CCC(O)=C4)=N1,0.08609
CC=C(C=C1CN(C)C(C)(C)C=C1C)/C=C/C=C/C1=NC(=O)CS1,0.09444
C=C1CN(C)c2ccc(/C=C/C=C/C3=NC(=O)CS3)cc2O1,0.08018
CC1=NC(=O)CS1,0.11595
CC1=CC(C)(C)N(C)C2=CCC(C=C/C=C/C3=NC(=O)CS3)=C12,0.07103
CN1OCCc2cc(/C=C/C=C/C3=NC(=O)CS3)ccc21,0.07899
O=C1CSC(C=CC2=NC(=O)CS2)=N1,0.07628
CN1C=CCc2cc3nc(C4=NC(=O)CS4)sc3cc21,0.08405
CNCCCc1cccc(/C=C/C=C/C2=NC(=O)CS2)c1,0.09553
O=C1CSC(c2nc3cc4c(cc3s2)N=CC4)=N1,0.10873
CN1CCCc2cc(C=CNC=CC3=NC(=O)CS3)ccc21,0.08923
CC1SC(C2=NC(=O)CS2)=NC1=O,0.05900
CC1CC(C)(C)c2cc3nc(C4=NC(=O)CS4)sc3cc21,0.11381
CN1CCC(C)(C)c2cc(C=COC=CC3=NC(=O)CS3)ccc21,0.09056
N=C(SCC=O)C1=NC(=O)CS1,0.06632
CN1CCC(C)(C)c2cc(C3=NC(=O)CS3)ccc21,0.11823
CC1=CC(C)(C)N2Cc3sc(C4=NC(=O)CS4)nc3C=C12,0.06793
C=CN1CCc2cc3nc(C4=NC(=O)CS4)sc3cc21,0.08927
NCc1ccc2nc(C3=NC(=O)CS3)sc2c1,0.11406
NC(=O)CSCc1nc2cc3c(cc2s1)N(C1=NC(=O)CS1)CC3,0.07330
O=C1CSC(c2nc3cc4c(cc3s2)NC(=O)CO4)=N1,0.10481
O=C1CSC(c2nc3cc4c(cc3s2)NNCC4)=N1,0.08709
C=C1CCc2cc(/C=C/C=C/C3=NC(=O)CS3)cc3c2N1CCC3,0.07826
CCC1=NC(=O)CS1,0.11454
O=C1CSC(C2=NC(=O)CS2)=N1,0.07886
C=C1CCNc2cc3sc(C4=NC(=O)CS4)nc3cc21,0.09142
CN1CCCc2cc3nc(NC4=NC(=O)CS4)sc3cc21,0.11259
O=C1CSC(/C=C/C=C/c2ccc3c(c2)OCCN3)=N1,0.08044
